"SiteName","Depth_datum_m","HeightM","BiomassM","DensityM","MacroM","NereoM","Composition","Area_m2","MacroP","Tempave","Tempmin","Tempmax","ID","Depth_logger_m","Depth_logger_datum_m","exp_36","Punderstory","Pcanopy","Phardbottom","Psoftbottom","Panimal","Pturf","Kelpdom"
"Between Scotts and Bradys",1.42,1.317,1.82472,4.5,4.5,0,"Macro",583.094737184816,1,13.4916965352449,11.4677419354839,17.0354838709677,"L04",3,0.9,31.9550616557904,37.3825838505824,1.97401299350325,22.4889567966936,10.9221676784856,7.52867017001342,18.8808581212106,"Giant"
"Bordelais Island",1.61,4.3115,1.88558977642432,1.7,0,1.7,"Nereo",1837.34244659647,0,13.2064740143369,11.4483870967742,15.5161290322581,"L05",4,1.45,27261.8724927255,21.7588719236253,0,18.6307994171718,2.77734690334285,11.6289023518091,45.2040794040509,"Bull"
"Cable Beach (Blow Hole)",0.87,2.066,2.43962749893242,2.85,0,2.85,"Nereo",411.731461275369,0,12.9762246117085,11.2193548387097,16.1161290322581,"L16",4.3,2.13,1869.65831897332,59.2180314258167,0,16.3614108422157,3.01780300334879,10.0575742481385,7.16916052955966,"Bull"
"Danvers Danger Rock",1.21,1.1575,0.90358,3,3,0,"Macro",85.1392366035143,1,13.3851207617517,11.2354838709677,16.9612903225806,"L27",2.5,1.78,1837.54247266402,0.528006947459835,0,28.24748351952,3.10145294627256,19.5675437949126,48.4339322447225,"Giant"
"Dixon Island Back (Bay)",1.18,1.183625,0.956985,1.2,1.2,0,"Macro",580.725939805805,1,12.9126418757467,11.3870967741935,15.6677419354839,"L25",2.7,1.48,985.028330468519,46.1885314786013,9.95425656503362,24.5110075876386,5.95851637826661,1.85845309399888,7.81695249800833,"Giant"
"Dodger Channel 1",1.69,1.478,1.26136,3.1,3.1,0,"Macro",1492.88456558913,1,13.0824746117085,11.0258064516129,15.8548387096774,"L15",4,1.7,1609.06965983352,53.8646058176585,8.45861691114929,15.023516768718,13.904017627711,5.95600597624187,1.00931677018634,"Giant"
"Dodger Channel 2",2.7,3.178625,2.88256,5.95,5.95,0,"Macro",2816.75321931392,1,12.1573476702509,10.6741935483871,14.4774193548387,"L20",5.8,3.6,323.575204134105,57.0543197013154,24.7728129713424,4.59214612447018,10.6107427793688,0.836863311664717,0,"Giant"
"Ed King East Inside",0.24,2.33230555555556,9.34195946060297,15.15,12.1,3.05,"Mixed",1817.47836432075,0.798679867986799,13.0152852449223,10.9612903225806,15.7,"L17",4.9,2.27,2490.3730085448,76.2583092086198,1.1144883485309,10.1288005601142,0.396825396825397,5.90851357502606,3.66378072734621,"Giant"
"Flemming 112",2.11,2.40575,1.71062,3.75,3.75,0,"Macro",613.148866315256,1,12.7049283154122,11.2677419354839,15.5064516129032,"L13",4.5,3.4,3231.41979298998,9.13452577195498,4.91718426501035,18.8820624798389,10.1450023584558,10.76894955747,42.3506136121253,"Giant"
"Flemming 114",3.85,2.676,0.694267,1.9,1.9,0,"Macro",390.803905717388,1,13.9766129032258,11.7451612903226,17.7064516129032,"L12",4.5,2.6,3605.53095659933,17.0892437657933,54.0321475625823,3.40687261140545,22.6712030440523,0.364285714285714,2.26595744680851,"Giant"
"Nanat Bay",3.5,2.9995,0.81248,1.15,1.15,0,"Macro",3156.89288827986,1,11.9120743727599,10.7645161290323,13.6129032258065,"L03",7.4,5.1,1399.39874777898,33.8808481347367,32.8404407117039,6.75088281777023,8.81731604077509,0.227735918972332,17.4827763760417,"Giant"
"North Helby Rock",2.41,1.8195,3.14586,6,6,0,"Macro",890.727550225361,1,12.8771206690562,11.158064516129,16.7258064516129,"L08",5.8,4,1513.02771673484,75.0353714449459,2.46913580246914,7.54925137903861,10.6170302313919,3.73013527712109,0,"Giant"
"Ross Islet 2",0.19,1.561,3.68882,12.05,12.05,0,"Macro",926.33352321235,1,13.9173013739546,11.2387096774194,17.5258064516129,"L06",4.2,1.51,1048.64235595853,9.15522207043435,2.85091607565012,33.9502821770364,24.8989232473282,9.08233463588042,19.510706348438,"Giant"
"Ross Islet Slug Island",1.81,1.1805,3.7464,13.1,13.1,0,"Macro",741.77707952424,1,13.6885827359618,11.4806451612903,17.4354838709677,"L18",5.1,2.46,1474.94169636595,37.555872849884,5.75470243601603,38.2083986914961,2.83336014693856,6.79590824384293,8.29671600370028,"Giant"
"Second Beach",2.19,4.07,7.00720721184552,5.85,0,5.85,"Nereo",840.977015748533,0,12.3903673835125,10.8193548387097,14.9903225806452,"L23",5.8,3.73,18697.9764314509,8.9008014031254,3.37948964676243,39.7937555179943,16.4461690058183,26.8670366416595,4.24868702655754,"Bull"
"Swiss Boy",2,2.082,3.85038773767493,7.8,0,7.8,"Nereo",98.7864536081906,0,16.4059391512397,13.8354838709677,18.6096774193548,"L28",3,0.8,1239.50966160586,31.8234117696144,0,22.3236029898181,1.87388302078753,16.6562410432174,21.9860688771052,"Bull"
"Taylor Rock",1.43,2.29925,8.52031768064364,14.8,13.15,1.65,"Mixed",1692.98693067813,0.888513513513513,13.7837365591398,11.2483870967742,16.5032258064516,"L19",4,1.5,943.557388704804,29.0129809504231,1.20895004625347,36.8751284818584,7.71090297050057,18.5173835954363,6.60373196971254,"Giant"
"Turf Island 2",0.33,1.173,3.90908,14.3,14.3,0,"Macro",972.48241513595,1,14.8382989844683,11.5258064516129,18.5354838709677,"L09",2.5,1.2,10601.591484901,38.2088428706343,1.7636122414983,29.6533163601491,3.26879113634672,20.3742131651315,6.56702061376054,"Giant"
"Tzartus 116",2.23,2.499375,1.95586,6.65,6.65,0,"Macro",1457.55988426099,1,13.1112977897252,11.2096774193548,16.7870967741935,"L02",5.9,3.8,1521.65380755915,12.4449464707328,61.4698880193792,4.4653227464282,13.8513098393996,0.21128841607565,5.49741751464693,"Giant"
"Wizard Islet South",0.1,1.1151,4.5092,14.5,14.5,0,"Macro",3580.4207722568,1,12.6320489844683,10.8709677419355,16.0258064516129,"L07",5,3.2,6534.01916127154,56.0353316821342,1.78019903912148,28.7276995432526,1.31600840248747,6.38355519625849,5.55130359728104,"Giant"
