"SiteName","exp_36","x","y"
"Between Scotts and Bradys",31.9550616557904,1062571.24747722,424416.542324308
"Bordelais Island",27261.8724927255,1056673.49320978,422755.519260208
"Cable Beach (Blow Hole)",1869.65831897332,1061723.4072252,423548.044254403
"Danvers Danger Rock",1837.54247266402,1066676.73474243,429401.492140124
"Dixon Island Back (Bay)",985.028330468519,1064960.51249489,426820.020589282
"Dodger Channel 1",1609.06965983352,1059236.35493259,424172.087328156
"Dodger Channel 2",323.575204134105,1058782.09072156,425131.918380499
"Ed King East Inside",2490.3730085448,1057854.05391805,424751.738021872
"Flemming 112",3231.41979298998,1062921.02374676,429541.2600333
"Flemming 114",3605.53095659933,1064996.56745833,430990.521304135
"Nanat Bay",1399.39874777898,1067817.36810002,429817.152378387
"North Helby Rock",1513.02771673484,1061270.05523962,426884.076713976
"Ross Islet 2",1048.64235595853,1061511.81347831,428814.770598364
"Ross Islet Slug Island",1474.94169636595,1061720.00812836,428606.238198479
"Second Beach",18697.9764314509,1060754.67116146,422551.587058451
"Swiss Boy",1239.50966160586,1063770.92972725,433716.597130299
"Taylor Rock",943.557388704804,1059036.24473009,423791.153879985
"Turf Island 2",10601.591484901,1062634.28576493,430170.807206535
"Tzartus 116",1521.65380755915,1067465.04219808,432059.254781396
"Wizard Islet South",6534.01916127154,1061719.39994024,427109.266080983
