"SiteName","Pbrown","Pred","Pgreen","Punderstory","Pcanopy","Pcoralline","Phardbottom","Psoftbottom","Psandbottom","Psiltbottom","Panimal","Pinvasive","Pturf"
"Between Scotts and Bradys",15.3966542935071,6.57981299708249,15.4061165599928,37.3825838505824,1.97401299350325,1.50182261810271,22.4889567966936,10.9221676784856,9.16134596168444,1.76082171680117,7.52867017001342,4.67568628762941,18.8808581212106
"Bordelais Island",20.9958949860514,0.627138456677074,0.13583848089682,21.7588719236253,0,0,18.6307994171718,2.77734690334285,2.08134232204687,0.696004581295978,11.6289023518091,0,45.2040794040509
"Cable Beach (Blow Hole)",48.203245155903,9.32163751559467,1.69314875431897,59.2180314258167,0,0.64784506273868,16.3614108422157,3.01780300334879,0.977178656989018,2.04062434635978,10.0575742481385,32.1652274025021,7.16916052955966
"Danvers Danger Rock",0.528006947459835,0,0,0.528006947459835,0,0.243161094224924,28.24748351952,3.10145294627256,0.298885511651469,2.80256743462109,19.5675437949126,0,48.4339322447225
"Dixon Island Back (Bay)",13.2044222890485,26.3972591669951,6.5868500225577,46.1885314786013,9.95425656503362,3.45293359123146,24.5110075876386,5.95851637826661,4.84526112185687,1.11325525640974,1.85845309399888,4.09934861444015,7.81695249800833
"Dodger Channel 1",52.024231678487,0.60790273556231,1.23247140360924,53.8646058176585,8.45861691114929,3.56784025667004,15.023516768718,13.904017627711,13.904017627711,0,5.95600597624187,20.1587301587302,1.00931677018634
"Dodger Channel 2",41.6027404328271,15.4515792684884,0,57.0543197013154,24.7728129713424,4.26623022367703,4.59214612447018,10.6107427793688,7.73324544967893,2.87749732968986,0.836863311664717,0,0
"Ed King East Inside",76.2583092086198,0,0,76.2583092086198,1.1144883485309,5.05856436707501,10.1288005601142,0.396825396825397,0.396825396825397,0,5.90851357502606,2.93819655521783,3.66378072734621
"Flemming 112",8.61899323097175,0.219089853236195,0.296442687747036,9.13452577195498,4.91718426501035,7.60332391028952,18.8820624798389,10.1450023584558,9.05002520122564,1.09497715723012,10.76894955747,5.27146464646465,42.3506136121253
"Flemming 114",13.2852253204705,3.38735177865613,0.416666666666667,17.0892437657933,54.0321475625823,0.340579710144927,3.40687261140545,22.6712030440523,22.1494639136175,0.521739130434783,0.364285714285714,0,2.26595744680851
"Less Dangerous Bay",33.0725799658096,46.6548405684646,3.12836497398595,82.8557855082602,0,1.01870179509931,2.55024799896751,0.647883000367472,0.647883000367472,0,0.626681575684437,29.2784502670747,7.73650101571184
"Nanat Bay",29.6714804236775,4.20936771105928,0,33.8808481347367,32.8404407117039,0,6.75088281777023,8.81731604077509,8.81731604077509,0,0.227735918972332,0,17.4827763760417
"North Helby Rock",75.0353714449459,0,0,75.0353714449459,2.46913580246914,1.19815173006662,7.54925137903861,10.6170302313919,10.6170302313919,0,3.73013527712109,0.578703703703704,0
"Ross Islet 2",1.36647378452178,3.76060398624427,4.0281442996683,9.15522207043435,2.85091607565012,0,33.9502821770364,24.8989232473282,23.6796080018501,1.21931524547804,9.08233463588042,0,19.510706348438
"Ross Islet Slug Island",7.26581667538109,2.71112362412688,27.5789325503761,37.555872849884,5.75470243601603,0,38.2083986914961,2.83336014693856,2.64834627089785,0.185013876040703,6.79590824384293,6.81291812465645,8.29671600370028
"Second Beach",7.25707396253741,1.64372744058799,0,8.9008014031254,3.37948964676243,0.728121516164994,39.7937555179943,16.4461690058183,5.8471216125231,10.5990473932952,26.8670366416595,3.91105606453153,4.24868702655754
"Second Beach South",1.00191376787121,2.64690982776089,0.236406619385343,3.88523021501745,0,3.10846560846561,54.4122199707306,3.61927276820894,3.61927276820894,0,10.5932680400766,0,25.9357762017336
"Swiss Boy",20.2186890171284,10.7185345315272,0.886188220958844,31.8234117696144,0,5.42812084281252,22.3236029898181,1.87388302078753,0.852679030292351,1.02120399049518,16.6562410432174,6.17571059431525,21.9860688771052
"Taylor Rock",22.6662855038202,0.072463768115942,6.274231678487,29.0129809504231,1.20895004625347,0.141843971631206,36.8751284818584,7.71090297050057,3.66173296330558,4.04917000719498,18.5173835954363,0,6.60373196971254
"Turf Island 2",31.3606534901473,4.04131187146594,2.80687750902112,38.2088428706343,1.7636122414983,0,29.6533163601491,3.26879113634672,1.15095377842993,2.11783735791679,20.3742131651315,27.3737388697196,6.56702061376054
"Tzartus 116",7.23575953802596,0.494976359338061,4.71421057336876,12.4449464707328,61.4698880193792,2.12470449172577,4.4653227464282,13.8513098393996,13.4725219606117,0.378787878787879,0.21128841607565,0.833333333333333,5.49741751464693
"Wizard Islet North",0.0591016548463357,0,0,0.0591016548463357,0,0,44.3985991626303,20.2258762114146,16.0424642003727,4.18341201104187,33.6881313372764,0,1.19426385605464
"Wizard Islet South",55.2773716093223,0.137268359643102,0.62069171316881,56.0353316821342,1.78019903912148,0.411805078929307,28.7276995432526,1.31600840248747,0.83335933112872,0.482649071358749,6.38355519625849,49.7250281002258,5.55130359728104
